Job.ID,text,Title
303691,dishwasher act retirement life communities abington part time join team act retirement life communities act set standard excellence senior retirement live since vision found faith guide commitment integrity love kindness summary statement set break dish wash area prepare break machine scrap area service ware pot work dishwashers team scrap rack wash service ware return establish storage area follow establish work clean wash standards ensure efficient sanitary dish wash operation essential job function prepare dish wash area receive dish service ware sort pre soak rack dish follow establish procedures soak heavily crust soil pot pan load unload pot machine wash pot follow post clean procedure report equipment concern immediately responsible supervisor transport medical food cart medical care facility empty departments trash clean place plastic liner return kitchen complete post service clean duties assign supervisor follow establish clean schedule follow establish safety rule regulations notify supervisor observe safety concern assist train new dishwashers direction food service supervisor necessary assign floor maintenance may require sweep wash floor prepare floor wash solution set break dish machine service ware wash equipment perform duties assign critical skills knowledge necessary able follow directions able work others ability communicate supervisor workers critical skills knowledge require successfully perform function position normally obtain thru completion high school education previous food health care experience months physical demand lift carry items weigh pound maximum occasional basis frequent lift carry items weigh pound walk stand frequently balance slippery surface frequently stoop kneel crouch crawl occasionally frequent reach knees shoulder level frequent handle involve frequent simple grasp power grasp push pull wrist twist fine finger manipulation frequently talk hear occasionally occasional near acuity inch less frequent feel twist upper lower trunk occasionally environmental condition exposure extremes heat cold wet humid condition exposure loud noise level occasionally atmospheric condition include occasional exposure fume mist odors frequent exposure toxic caustic clean chemicals dishwasher act retirement life communities,Dishwasher @ ACTS Retirement- Life Communities
289262,prep cook bob evans corporate canfield part time bob evans hire part time prep cook restaurant kitchen prep cook job critical smooth operation restaurant supply need food items keep kitchen organize day assist thaw bake prepare food items meet daily business need also cook food items follow standardize recipes interest position please apply today youll need answer basic question could potentially schedule interview please check email next step apply dont forget check junk folder case mistake prep cook bob evans corporate,Prep Cook @ Bob Evans Corporate
289585,part time full time automotive customer service rep csr internet sales rod baker ford plainfield part time part time full time automotive customer service representative ford sales increase perfect time consider career rod baker ford apply customer service representative automotive team today responsibilities automotive customer service representatives follow customers indicate purchase interest website automotive customer service representative follow prospective customers return email voicemail automotive customer service representatives support line customers set appointments automotive customer service representatives coordinate schedule salespeople sales appointments commit become expert gain depth knowledge ford vehicles technology follow exist customers confirm satisfaction generate lead experience give exceptional customer service excellent communication skills want build career customer service representative work excite new products look forward talk part time full time automotive customer service rep csr internet sales rod baker ford,Part Time & Full-Time Automotive Customer Service Rep / CSR / Internet Sales @ Rod Baker Ford
266468,dietary cook villages rehabilitation nurse center lady lake part time long term care nurse facility look hire part time dietary cook applicants must prior long term care experience must available work every weekend report dietary manager cook provide food service residents guests employees facility food service department provide food beverage meals activities member food service staff dietary cook properly safely cook appropriately season attractively present food beverage items pleasant environment consistent food specifications dietary cook villages rehabilitation nurse center,Dietary Cook @ The Villages Rehabilitation and Nursing Center
309743,restaurant shift leader baker hourly crew member cashier food service self opportunity boston full time part time dunkin donuts america run dunkin get career run enjoy work fast fun pace environment challenge allow apply personality skills variety ways work dunkin donuts great career choice team commit make guests day serve great product smile everyone team managers crew members work together take pride great job ready roll sleeves part win team right opportunity interview hourly team members locations boston surround areas pay start per hour locations except boston wellesley locations start per hour open house attend interview friday april hyatt place hotel forbes road braintree walk ins welcome please prepare interview schedule interview please send resume click email resumé question call requirements must least years old must able fluently speak read english capable count money make change able operate restaurant equipment guest focus passion result possess problem solve decision make skills restaurant shift leader baker hourly crew member cashier food service self opportunity,Restaurant Shift Leader - Baker - Hourly Crew Member - Cashier - Food Service @ Self Opportunity
267788,hire kitchen position line cook olive garden anderson full time part time rsquo family olive garden family local restaurants focus delight every guest genuine italian din experience proud serve fresh simple delicious italian food complement great glass wine serve comfortable home like italian set everyone welcome family friends hire line cook anderson hire kitchen position line cook olive garden,Hiring Kitchen Positions - Line Cooks @ Olive Garden
287298,line cook fte variable shift nutrition service first hill swedish health seattle part time work matter swedish medical center look fte line cook work variable shift swedish first hill seattle promote mission swedish participate vital member nutrition service team prepare food products utilize basic advance cook techniques standardize recipes plat guidelines meet production schedule accordance health safety sanitary procedures position responsible process food items ensure proper utilization storage food supply responsible maintain orderliness cleanliness equipment supply work areas take order customers expedite organize timely manner perform relate task require line cook fte variable shift nutrition service first hill swedish health,"Line Cook - 0.5FTE/Variable Shifts - Nutrition Services, First Hill @ Swedish Health"
289263,prep cook bob evans corporate canton part time bob evans hire part time prep cook restaurant kitchen prep cook job critical smooth operation restaurant supply need food items keep kitchen organize day assist thaw bake prepare food items meet daily business need also cook food items follow standardize recipes interest position please apply today youll need answer basic question could potentially schedule interview please check email next step apply dont forget check junk folder case mistake prep cook bob evans corporate,Prep Cook @ Bob Evans Corporate
244361,sql application support analyst open systems technologies austin full time part time open systems technologies seek sql developer within application support environment direct client austin area person work environment support party application expect already niche application experience train application relate life insurance industry detail qualify candidates send update resume full contact information jean miller click email resumé must able work client basis without need transfer sponsorship party candidates consider key skills strong sql skills include experience create view store procedures sql server agent job client sql sql experience either must strong must able pass depth technical screen sql query scratch client environment access outside websites resources person need check internet reference materials syntax may fit role strong practical experience microsoft windows server experience include ssrs ssis ssas could helpful least ssis experience would relevant current environment experience etl process large amount data transfer could important etl become large part client environment future work knowledge microsoft sql server solutions cobol lower end desire skills understand basic experience work past acceptable role need able speak clients internal external without confusion need extensive clarification excellent communication skills require successful applicant must onsite client austin area skills advance sql requirement optional sql sql cod function join trigger table view query statements etc ability troubleshoot issue dig code perform investigations logical manner ability least read understand cobol code require person write cobol work extensive basis primary breakdown require skills would sql cobol javascript experience xml key well person work call rotation every weeks person ramp also proficient office suite education bachelor degree computer science relate discipline least years solid diverse work experience minimum years experience application program development equivalent education work experience sql application support analyst open systems technologies,SQL Application Support Analyst @ Open Systems Technologies - TN
313497,hire kitchen position cook dishwashers yard house las vegas full time part time yard house restaurant upscale casual eatery know great food classic rock music draught beer offer feature tap handle craft ales lagers hire skilled team members meet criteria teamwork communication leadership location linq las vegas hire kitchen position line cook sauté cook prep cook dishwashers apply select appropriate job title link hire kitchen position cook dishwashers yard house,Hiring All Kitchen Positions - Cooks - Dishwashers @ Yard House
